,SNR_in,SNR_out,SNR_imp,PRD,RMSE
count,3267.0,3267.0,3267.0,3267.0,3267.0
mean,12.106251646919468,24.59078337189309,12.484531724973621,6.564974464938282,0.029011816168821588
std,3.204317652013047,3.858870055329849,3.7433637131821946,3.6151046736693773,0.019847263419036587
min,3.4744875355871403,7.1696010879925565,-8.035315263795805,1.9249128663262296,0.007104302332184014
25%,9.388918516288495,22.11942569796012,10.184843619652167,4.315269682577879,0.01727651612120696
50%,12.33048188130226,24.906012247038113,12.811183348450655,5.684593153251463,0.023685813473278246
75%,14.548279761649601,27.29984131473897,15.057921498855038,7.834814550858375,0.03395873550652316
max,22.197438845967188,34.31177849225423,22.060705529211255,43.80462286131457,0.2679261379474514
