,SNR_in,SNR_in,SNR_in,SNR_out,SNR_out,SNR_out,SNR_imp,SNR_imp,SNR_imp,PRD,PRD,PRD,RMSE,RMSE,RMSE
,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
noise_type,,,,,,,,,,,,,,,
BW,12.410546813908589,2.904200896206536,216,26.30589813393434,4.151340549676243,216,13.895351320025751,4.119170167738179,216,5.488827882414245,3.284611372813917,216,0.024428168787308472,0.015918977377961583,216
BW+EM,12.513763386236343,3.298216923432777,241,24.587575796831718,3.638170560301241,241,12.073812410595377,3.4771070191770495,241,6.451867493327053,2.920331461652383,241,0.02762486947014282,0.015172556865691614,241
BW+MA,12.75547359789595,3.5335598999379227,233,25.064088397461013,4.17445276843565,233,12.308614799565063,4.160603270210227,233,6.375593031990575,4.205489453160944,233,0.027980896551303293,0.018527747105975288,233
EM,11.685462046356509,3.174892605538309,1072,23.83656984803075,3.635765611082759,1072,12.151107801674238,3.692999461620381,1072,7.067158393817765,3.590582608393225,1072,0.031625142749924604,0.02110854623062174,1072
MA,12.286758769617352,3.1957024772947324,1085,24.881380919062707,3.852481445471038,1085,12.594622149445351,3.61226393695444,1085,6.361566560342453,3.643696988399033,1085,0.02828322167771355,0.0208760441877149,1085
MA+EM,12.158469026586864,3.1065515540898057,215,24.760821600524316,3.7244963381641427,215,12.602352573937454,3.6891230988234716,215,6.3791482975058456,3.1921377695806874,215,0.027550181121414545,0.014448825287884309,215
MA+EM+BW,11.758947682164603,3.0303084474728035,205,24.477068765928383,3.8961609668071966,205,12.718121083763782,3.7782438798731084,205,6.692493228772203,3.989056524023196,205,0.028367019694541043,0.02090569548570783,205
