sample_id,noise_type,snr_in_target,SNR_in,SNR_out,SNR_imp,PRD,RMSE
0,MA+EM+BW,7,14.632260240795262,26.922221313165394,12.289961072370133,4.507014282617828,0.01881758074807249
1,MA+EM,7,14.872787058976353,29.289046378785883,14.41625931980953,3.432003175878842,0.017697003556883435
2,MA,5,10.580910772767652,27.139712045606558,16.558801272838906,4.395561873518772,0.012570685336882721
3,MA,7,13.656543745769149,22.501770025642163,8.845226279873014,7.4974141016036,0.02540066489811579
4,MA+EM,10,16.641051213233386,27.854306763781782,11.213255550548396,4.048411611463953,0.016200061790929223
5,EM,5,11.542458229564687,26.853734634042166,15.311276404477479,4.5426917507930025,0.019924689020607247
6,MA,10,15.388261267509936,29.255652514819047,13.867391247309111,3.4452232887122367,0.026299114934139323
7,EM,0,3.7799288133667117,7.458129839572313,3.678201026205601,42.37341905115962,0.2679261379474514
8,MA+EM+BW,5,13.223822375400243,26.50070642012389,13.276884044723648,4.731127793130715,0.020274230353449774
9,MA,7,10.356944719318244,26.684452369253933,16.32750764993569,4.6320941867009555,0.03610981072923167
10,EM,5,7.944570793797288,21.957421127648118,14.01285033385083,7.982316499804773,0.06489326489699714
11,EM,5,10.33989775503488,20.108387834427983,9.768490079393104,9.875989244254969,0.026343529854902712
12,MA,5,12.312140420053716,27.40234358335367,15.090203163299954,4.26464436772842,0.013957733745493861
13,MA,10,15.046292656881842,24.05542299232341,9.009130335441569,6.2694414428308045,0.028314706288771724
14,MA,0,8.53284868195389,26.89432147496894,18.36147279301505,4.521514482690805,0.016495151561720715
15,MA,0,5.673197174953949,21.466089284783504,15.792892109829555,8.446864660223216,0.0706156539522716
16,EM,7,11.533430396145386,26.29654162480152,14.763111228656134,4.843651841142944,0.03571564102697149
17,EM,0,9.031323998556877,23.732721310755416,14.701397312198539,6.506747208994228,0.027510529425118783
18,BW+MA,10,16.786629611195583,19.39283556261608,2.606205951420499,10.724034979022749,0.05876137845928578
19,EM,7,14.124047272340324,20.791158945246902,6.667111672906579,9.12939615000545,0.02365656172356926
20,EM,5,12.260830917016674,23.481615441454085,11.220784524437411,6.697600328001563,0.01748919821241189
21,BW,5,10.338961023223021,27.135057571979257,16.796096548756235,4.397917937238059,0.013179533201990435
22,MA,7,13.741935067335474,26.761026050441984,13.01909098310651,4.591437717037151,0.019358950869743104
23,MA,7,13.611542719887613,26.904756623307197,13.293213903419584,4.516085638296572,0.011438036147333222
24,EM,7,14.936143611999615,23.021886795406964,8.085743183407349,7.061641408490611,0.022525214403448738
25,EM,0,8.386217287323879,21.139899377004777,12.753682089680899,8.770109809504321,0.029942291066017774
26,MA,10,15.19895259871603,27.290478547748,12.091525949031968,4.31992366409784,0.03158999033911479
27,BW,7,13.45367643932353,27.680453023404205,14.226776584080675,4.130259595444721,0.03073940187869685
28,MA,10,16.869738624080096,29.94368856909233,13.073949945012235,3.182845600443698,0.012446042585220649
29,BW,0,9.08418688643954,28.478922581177084,19.394735694737545,3.7675052913522937,0.01434732610741531
30,EM,10,11.984777415795268,30.592737976729968,18.6079605609347,2.9536776798364617,0.02309878169674378
31,BW+MA,10,14.926980404552017,26.584257249559357,11.65727684500734,4.685836570843559,0.011013929296051907
32,MA,10,12.64240719636379,30.868110696455567,18.225703500091775,2.861504710586976,0.022925743928681217
33,MA+EM+BW,5,13.662806869217828,26.97656326912394,13.313756399906111,4.478904851724189,0.015820685604062308
34,EM,10,18.302032743219534,24.070246816445817,5.768214073226282,6.25875078931791,0.019817540179655063
35,MA,0,9.588152500025352,22.984608500364324,13.396456000338972,7.092013848661022,0.046280516335492974
36,BW,0,7.354593288001392,14.904115168077263,7.549521880075871,17.980188547010055,0.0650901616179521
37,MA,0,5.869497918504656,20.871673100198432,15.002175181693776,9.045161905345775,0.021178444579779937
38,MA+EM+BW,7,11.213829240219512,24.855397872024547,13.641568631805034,5.717815088930945,0.013389452544052842
39,MA,5,12.305236696991384,24.064637969790816,11.759401272799431,6.262793634843525,0.013113527664238855
40,MA,7,13.94519269864807,27.896299524295,13.95110682564693,4.028886416282688,0.015288012569515418
41,MA,7,13.435448055170681,19.795311343392704,6.359863288222023,10.238455165276795,0.059846710834928055
42,MA,10,15.415761624076366,27.180040463275596,11.76427883919923,4.3752006696331485,0.014655819297887764
43,EM,0,9.064200785786154,23.36685905306514,14.302658267278987,6.786674923940075,0.03088641536962701
44,MA,10,15.560366154291597,28.64588411460204,13.085517960310444,3.695777305385275,0.011021278237135189
45,MA,10,15.570023464883274,27.20030634802878,11.630282883145505,4.365004367640422,0.029325677276711346
46,EM,0,9.559833130721305,18.81678056670325,9.256947435981946,11.459376056084468,0.028110482800476046
47,BW+EM,10,15.360234594544606,32.23538652414314,16.87515192959853,2.4447287158746906,0.01895406822790044
48,MA,0,7.052830789059854,19.01923778710567,11.966406998045816,11.195361218127275,0.033272174534889294
49,EM,0,5.093349254026043,17.081495011987947,11.988145757961904,13.99346446870599,0.027688341937087548
50,EM,5,12.101209711009655,20.427886981631445,8.32667727062179,9.519313965170005,0.04288872635155714
51,EM,7,13.664233303291102,25.970347124554078,12.306113821262976,5.0290116741043915,0.014687348771473633
52,EM,5,12.105071068712858,26.514466122050898,14.40939505333804,4.723638937629471,0.01497736790086791
53,MA+EM+BW,7,15.15378681426661,26.565164494302174,11.411377680035564,4.696147999526577,0.032857985325450915
